site,sampling_method,sample,sampling_area,organism_group,taxon,body_mass,body_length,body_weight_units,body_length_units,count,multiplier
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,7.91e-5,1.88,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Zelandobius,7e-5,1.37,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Aoteapsyche,3.78e-6,1.15,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Coloburiscus,1.11619e-4,1.8,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Deleatidium,0.0011219,6.04,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Deleatidium,2.87e-5,1.82,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Hydrobiosis,6.7e-5,3.09,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Hydrobiosis,1.87e-5,1.74,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,2.76203e-4,2.59,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,8.1e-5,1.65,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,7.45e-5,1.6,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,9.65e-5,1.76,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,2.76203e-4,2.59,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,1.521e-4,2.08,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,5.7e-5,1.45,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,1.3e-5,1.01,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,2.54e-5,1.27,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,1.13e-5,0.96,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,2.48e-5,1.26,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,1.58e-5,1.08,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,9.95e-6,0.92,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,9.04e-6,0.89,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,1.23e-5,0.99,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,5.42e-5,1.65,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,1.67e-5,1.1,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,6.64e-6,0.8,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,2.31e-5,1.23,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Zelandobius,3.78e-5,0.96,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Zelandobius,4.05e-5,1,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Zelandobius,3.64e-5,0.94,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Ceratopogonidae,3.95283e-4,4.79,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Empididae,1.96352e-4,2.73,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,3.81e-5,1.25,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Orthocladiinae,1.92934e-4,2.27,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Oxyethira,9.34e-6,0.9,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Potamopyrgus,6.92e-6,0.93,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Potamopyrgus,1.45e-5,1.17,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Zelandobius,2.46e-5,0.75,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Zelandobius,2.87e-5,0.82,g,mm,1,16.666666666666668
Warne,surber,1,0.06,macroinvertebrate,Zelandobius,2.4e-5,0.74,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Acari,2.48e-6,0.67,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Acari,2.96e-6,0.72,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Acari,1.88e-6,0.6,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Aoteapsyche,3.8e-5,2.46,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Deleatidium,2.97e-5,1.84,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Deleatidium,1.5e-5,1.47,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Deleatidium,0.002941287,8.28,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Deleatidium,0.003373507,8.66,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Deleatidium,2.21e-5,1.67,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Deleatidium,1.5e-5,1.47,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Orthocladiinae,1.02636e-4,1.8,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Orthocladiinae,1.77174e-4,2.2,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Orthocladiinae,3.11e-5,1.16,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Orthocladiinae,6.03e-5,1.48,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Orthocladiinae,1.9995e-4,2.3,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Orthocladiinae,3.34868e-4,2.78,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Spaniocercoides,1.7e-5,1.16,g,mm,1,16.666666666666668
Warne,surber,2,0.06,macroinvertebrate,Spaniocercoides,5.04e-5,1.79,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Deleatidium,3.08854e-4,3.96,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Deleatidium,3.33309e-4,4.06,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Deleatidium,6.14526e-4,4.96,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Deleatidium,0.001655328,6.86,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Deleatidium,6.45316e-4,5.04,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Deleatidium,0.001313587,6.36,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Deleatidium,9.91174e-4,5.8,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Deleatidium,6.22128e-4,4.98,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Deleatidium,4.94663e-4,4.62,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Oxyethira,2.59e-5,1.28,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Oxyethira,1.83001e-4,2.51,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Oxyethira,6.01e-5,1.71,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Oxyethira,1.53044e-4,2.36,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Oxyethira,1.4564e-4,2.32,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Oxyethira,6.11e-5,1.72,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Pycnocentria,1.36e-5,1.26,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Spaniocercoides,3.59206e-4,3.92,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Stenoperla,3.3101e-4,5.74,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Zephlebia,0.008592675,12.9,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Acari,6.41e-6,0.98,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Acari,3.98e-6,0.81,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Acari,2.04e-6,0.62,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Acari,4.62e-6,0.86,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Aoteapsyche,4.3e-6,1.2,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Austrosimulium,3.93e-5,1.99,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Hydrobiosis,3.12e-5,2.19,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Orthocladiinae,2.48145e-4,2.49,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Orthocladiinae,3.93552e-4,2.95,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Orthocladiinae,1.48154e-4,2.06,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Orthocladiinae,3.25127e-4,2.75,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Orthocladiinae,8.65e-5,1.69,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Orthocladiinae,1.24077e-4,1.93,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Orthocladiinae,2.34821e-4,2.44,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Orthocladiinae,8.93e-5,1.71,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Orthocladiinae,3.00035e-4,2.67,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Orthocladiinae,2.76203e-4,2.59,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Orthocladiinae,4.15712e-4,3.01,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Orthocladiinae,2.45443e-4,2.48,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Oxyethira,2.65e-5,1.29,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Oxyethira,2.59e-5,1.28,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Oxyethira,4.52e-5,1.55,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Oxyethira,2.2e-5,1.21,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Oxyethira,3.16e-5,1.37,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Oxyethira,1.19969e-4,2.17,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Oxyethira,2.42e-5,1.25,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Oxyethira,1.58e-5,1.08,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Spaniocercoides,6.92e-6,0.81,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Spaniocercoides,2.18e-5,1.28,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Spaniocercoides,2.98e-5,1.45,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Tanypodinae,2.84994e-4,2.62,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Aoteapsyche,2.87e-6,1.05,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Aoteapsyche,2.95e-6,1.06,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Aoteapsyche,2.33e-6,0.98,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Empididae,1.03347e-4,1.63,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Hydrobiosis,2.07e-5,1.82,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Oxyethira,2.31e-5,1.23,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Spaniocercoides,6.1e-6,0.77,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Spaniocercoides,3.29e-5,1.51,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Spaniocercoides,2.31e-5,1.31,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Spaniocercoides,6.3e-6,0.78,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Spaniocercoides,6.1e-6,0.77,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Spaniocercoides,6.92e-6,0.81,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Spaniocercoides,5.9e-6,0.76,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Spaniocercoides,6.3e-6,0.78,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Spaniocercoides,9.79e-6,0.93,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Spaniocercoides,2.35e-5,1.32,g,mm,1,16.666666666666668
Warne,surber,3,0.06,macroinvertebrate,Spaniocercoides,2.14e-5,1.27,g,mm,1,16.666666666666668
Coalbrookedale,surber,1,0.06,macroinvertebrate,Acari,1.58e-6,0.56,g,mm,1,16.666666666666668
Coal,surber,1,0.06,macroinvertebrate,Acari,3.07e-6,0.73,g,mm,1,16.666666666666668
Coalbrookedale,surber,1,0.06,macroinvertebrate,Acari,2.21e-6,0.64,g,mm,1,16.666666666666668
Charming,surber,1,0.06,macroinvertebrate,Acari,1.96e-6,0.61,g,mm,1,16.666666666666668
Portal,surber,1,0.06,macroinvertebrate,Acari,2.48e-6,0.67,g,mm,1,16.666666666666668
Murray,surber,1,0.06,macroinvertebrate,Acari,1.65e-6,0.57,g,mm,1,16.666666666666668
Murray,surber,1,0.06,macroinvertebrate,Acari,1.88e-6,0.6,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Acari,2.66e-6,0.69,g,mm,1,16.666666666666668
One Horse Creek,surber,1,0.06,macroinvertebrate,Acari,2.96e-6,0.72,g,mm,1,16.666666666666668
Kiwi,surber,1,0.06,macroinvertebrate,Acari,2.76e-6,0.7,g,mm,1,16.666666666666668
One Horse Creek,surber,1,0.06,macroinvertebrate,Acari,8.36e-6,1.09,g,mm,1,16.666666666666668
Chasm,surber,1,0.06,macroinvertebrate,Acari,1.8e-6,0.59,g,mm,1,16.666666666666668
Portal,surber,1,0.06,macroinvertebrate,Acari,2.38e-6,0.66,g,mm,1,16.666666666666668
Kiwi,surber,1,0.06,macroinvertebrate,Acari,1.8e-6,0.59,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Acari,1.88e-6,0.6,g,mm,1,16.666666666666668
Burnet Tributary,surber,1,0.06,macroinvertebrate,Acari,2.66e-6,0.69,g,mm,1,16.666666666666668
One Horse Creek,surber,1,0.06,macroinvertebrate,Acari,2.04e-6,0.62,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Acari,1.38e-6,0.53,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Acari,1.25e-6,0.51,g,mm,1,16.666666666666668
Burnett,surber,1,0.06,macroinvertebrate,Acari,1.65e-6,0.57,g,mm,1,16.666666666666668
Stream X,surber,1,0.06,macroinvertebrate,Acari,3.98e-6,0.81,g,mm,1,16.666666666666668
Burnett,surber,1,0.06,macroinvertebrate,Ameletopsis,7.41399e-4,4.92,g,mm,1,16.666666666666668
Italian,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.55e-5,1.83,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,2.46e-5,2.13,g,mm,1,16.666666666666668
Stream X,surber,1,0.06,macroinvertebrate,Aoteapsyche,5.11e-6,1.27,g,mm,1,16.666666666666668
Stream X,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.03e-5,1.6,g,mm,1,16.666666666666668
Charming,surber,1,0.06,macroinvertebrate,Aoteapsyche,2.05e-6,0.94,g,mm,1,16.666666666666668
Burnet Tributary,surber,1,0.06,macroinvertebrate,Aoteapsyche,3.57e-5,2.41,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,6.72e-6,1.39,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,6.58e-6,1.38,g,mm,1,16.666666666666668
Chasm,surber,1,0.06,macroinvertebrate,Aoteapsyche,4.71e-5,2.64,g,mm,1,16.666666666666668
Chasm,surber,1,0.06,macroinvertebrate,Aoteapsyche,2.03e-5,2,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.07e-5,1.62,g,mm,1,16.666666666666668
Italian,surber,1,0.06,macroinvertebrate,Aoteapsyche,2.32e-5,2.09,g,mm,1,16.666666666666668
Chasm,surber,1,0.06,macroinvertebrate,Aoteapsyche,8.64e-6,1.51,g,mm,1,16.666666666666668
Sullivan West,surber,1,0.06,macroinvertebrate,Aoteapsyche,2.98e-5,2.27,g,mm,1,16.666666666666668
Kiwi,surber,1,0.06,macroinvertebrate,Aoteapsyche,3.62e-5,2.42,g,mm,1,16.666666666666668
Charming,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.68e-6,0.88,g,mm,1,16.666666666666668
Charming,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.03e-6,0.75,g,mm,1,16.666666666666668
Burke,surber,1,0.06,macroinvertebrate,Aoteapsyche,4.53e-6,1.22,g,mm,1,16.666666666666668
Sullivan East,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.08e-6,0.76,g,mm,1,16.666666666666668
Italian,surber,1,0.06,macroinvertebrate,Aoteapsyche,9.44e-5,3.32,g,mm,1,16.666666666666668
Italian,surber,1,0.06,macroinvertebrate,Aoteapsyche,6.87e-5,2.99,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,3.18e-5,2.32,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,2.75e-5,2.21,g,mm,1,16.666666666666668
Burke,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.15e-5,1.66,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,8.64e-6,1.51,g,mm,1,16.666666666666668
Murray,surber,1,0.06,macroinvertebrate,Aoteapsyche,2.4e-6,0.99,g,mm,1,16.666666666666668
Italian,surber,1,0.06,macroinvertebrate,Aoteapsyche,6.87e-6,1.4,g,mm,1,16.666666666666668
Kiwi,surber,1,0.06,macroinvertebrate,Aoteapsyche,7.45e-5,3.07,g,mm,1,16.666666666666668
Burke,surber,1,0.06,macroinvertebrate,Aoteapsyche,4.2e-6,1.19,g,mm,1,16.666666666666668
Burke,surber,1,0.06,macroinvertebrate,Aoteapsyche,3.06e-5,2.29,g,mm,1,16.666666666666668
Italian,surber,1,0.06,macroinvertebrate,Aoteapsyche,9.36e-5,3.31,g,mm,1,16.666666666666668
Italian,surber,1,0.06,macroinvertebrate,Aoteapsyche,3.31e-5,2.35,g,mm,1,16.666666666666668
Italian,surber,1,0.06,macroinvertebrate,Aoteapsyche,9.53e-5,3.33,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.09e-5,1.63,g,mm,1,16.666666666666668
Burke,surber,1,0.06,macroinvertebrate,Aoteapsyche,5.23e-6,1.28,g,mm,1,16.666666666666668
Burke,surber,1,0.06,macroinvertebrate,Aoteapsyche,2.42e-5,2.12,g,mm,1,16.666666666666668
Italian,surber,1,0.06,macroinvertebrate,Aoteapsyche,2.75e-5,2.21,g,mm,1,16.666666666666668
Italian,surber,1,0.06,macroinvertebrate,Aoteapsyche,3.71e-5,2.44,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,3.06e-5,2.29,g,mm,1,16.666666666666668
Kiwi,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.38e-5,1.76,g,mm,1,16.666666666666668
Italian,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.47e-5,1.8,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,7.16e-5,3.03,g,mm,1,16.666666666666668
Kiwi,surber,1,0.06,macroinvertebrate,Aoteapsyche,2.56e-5,2.16,g,mm,1,16.666666666666668
Burke,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.57e-5,1.84,g,mm,1,16.666666666666668
Burke,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.13e-5,1.65,g,mm,1,16.666666666666668
Italian,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.13757e-4,3.53,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.05e-5,1.61,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,6.33e-5,2.91,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,8.53e-5,3.21,g,mm,1,16.666666666666668
Burke,surber,1,0.06,macroinvertebrate,Aoteapsyche,8.47e-6,1.5,g,mm,1,16.666666666666668
Burke,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.01e-5,1.59,g,mm,1,16.666666666666668
Burke,surber,1,0.06,macroinvertebrate,Aoteapsyche,2.35e-5,2.1,g,mm,1,16.666666666666668
Burke,surber,1,0.06,macroinvertebrate,Aoteapsyche,9.18e-6,1.54,g,mm,1,16.666666666666668
Burke,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.01e-5,1.59,g,mm,1,16.666666666666668
Burke,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.22e-5,1.69,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.38e-5,1.76,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.5e-5,1.81,g,mm,1,16.666666666666668
Coorang,surber,1,0.06,macroinvertebrate,Aoteapsyche,0.001393717,8.06,g,mm,1,16.666666666666668
Italian,surber,1,0.06,macroinvertebrate,Aoteapsyche,2.56e-5,2.16,g,mm,1,16.666666666666668
Italian,surber,1,0.06,macroinvertebrate,Aoteapsyche,1.6e-5,1.85,g,mm,1,16.666666666666668
Lankey,surber,1,0.06,macroinvertebrate,Aoteapsyche,8.05e-5,3.15,g,mm,1,16.666666666666668
Kiwi,surber,1,0.06,macroinvertebrate,Aoteapsyche,3.97267e-4,5.33,g,mm,1,16.666666666666668
Burke,surber,1,0.06,macroinvertebrate,Aoteapsyche,2.71e-5,2.2,g,mm,1,16.666666666666668
